ID,Country,60,BVR,AEW,Core,Guidance,A,B,C,D,E,F,G,LI,FPS,BVR limit km,Missile Design and Performance,Platform Integration,Cueing and Detection,Flag Abbrev,Flag URL
1,United States,F-22A (20) + F-35A Blk-4 (25) + F-15EX (15),AIM-120D-3 (180) / AIM-260 (230),E-3G (400) / E-7A (450) / GAN-LR (500),American-NATO,GPS,98,96,92,99,97,93,95,95.8,5751,250,"AIM-120D-3 features active radar homing, two-way datalink, GPS-aided navigation, and Mach 4 speed for 180 km range with high Pk at NEZ; AIM-260 doubles range to ~200+ km via advanced propulsion and stealthy design for ""kick-the-door-down"" strikes.","Seamlessly integrates with F-22/F-35 internal bays and F-15EX pylons, enabling 6-8 loads per jet with full fire-and-forget autonomy.","E-3G/E-7A AEWCS provide 400-450 km radar horizons; GAN-LR ground radars and sat-links enable networked targeting via Link-16 for pre-launch updates, extending effective engagement to 250 km. Advanced multi-domain integration via Link-16 and GPS-denied sat-cueing boosts A/D.",us,https://flagcdn.com/w80/us.png
2,Russia,Su-57 (12) + Su-35S (28) + Su-30SM2 (20),R-77M (200) / R-37M (400),A-100 (400) / Podsolnukh-E OTH (600),Russian,GLONASS,95,88,100,96,94,85,95,94.6,5678,350,"R-77M uses active radar with 200 km range, Mach 4 speed, and improved ECCM for high Pk; R-37M hypersonic (Mach 5+) variant with jettisonable booster achieves 300-400 km range for intercepting high-value targets like AWACS.","Heavy Su-35S/Su-57 carry 4-6 R-37Ms externally, with Su-30SM2 adding multi-role flexibility via datalink updates for mid-course guidance.","A-100 AWACS (400 km) and Podsolnukh-E OTH radars (600 km) feed targeting data, enabling lofted launches and 350 km effective envelope against non-maneuvering targets. OTH radar extensions and hypersonic missile kinematics boost C/D.",ru,https://flagcdn.com/w80/ru.png
3,China,J-20A (40) + J-35A (20),PL-15 (200) / PL-21 (300),KJ-3000 (450) / P-band GAN (500),Chinese,Beidou,97,90,94,97,89,88,100,94.3,5660,280,"PL-15 dual-pulse rocket motor, AESA seeker, Mach 5 speed for 200-300 km range with high NEZ Pk; PL-21 ramjet variant extends to 300+ km for anti-AWACS roles.",J-20's internal bays carry 4-6 PL-15s stealthily; J-35A adds conformal loads for sustained BVR without drag penalty.,"KJ-3000 AEW (450 km) and P-band GAN radars (500 km) provide mid-course updates via indigenous datalinks, achieving 280 km effective range. Indigenous datalinks and P-band OTH radars enhance A/C/D integration.",cn,https://flagcdn.com/w80/cn.png
4,Israel,F-35I (39) + F-15IA (21),AIM-120D-3 (180) + Rampage ALBM (250),G-550 CAEW (400) + Green-Pine (800),Israeli,GPS,96,95,88,97,97,90,90,93.4,5604,200,"AIM-120D-3 active radar, two-way datalink, 180 km range, Mach 4 speed; Rampage ALBM adds 250 km stand-off for suppression.",F-35I internal bays for 4 AIM-120s; F-15IA wing pylons for mixed loads with seamless ELINT fusion.,"G-550 CAEW (400 km) and Green Pine (800 km) radars enable networked cueing, extending to 200 km via sat-links. Multi-domain cueing (e.g., Green Pine's extended radar horizon enhancing A and D scores).",il,https://flagcdn.com/w80/il.png
5,United Kingdom,F-35B (30) + Typhoon FGR4 (30),Meteor (150) / AIM-120D-3 (180),E-7D (400) + Type-45 GAN (400),UK-American-NATO,GPS,94,92,88,94,94,87,80,90.6,5436,200,"Meteor ramjet, Mach 4+, 150-200 km range with large NEZ; AIM-120D-3 complements with 180 km active radar.",Typhoon carries 4-6 Meteors externally; F-35B internal for stealthy loads.,E-7D AEW (400 km) and Type-45 radars (400 km) via Link-16 for 200 km envelope.,gb,https://flagcdn.com/w80/gb.png
6,Australia,F-35A (40) + F/A-18F (20),AIM-120D-3 (180) / NSM (185),"E-7A (450) / JORN OTH (3,000)",Australian-NATO,GPS,93,91,89,95,92,85,70,88.6,5412,220,"AIM-120D-3 active radar, two-way datalink, 180 km range; NSM anti-ship adds 185 km multi-role.",F-35A internal bays for 4 AIM-120s; Super Hornet external loads with E-7A cueing.,"E-7A (450 km) and JORN OTH (3,000 km) for vast area coverage, 220 km effective via Link-16. JORN's OTH boosts A/D in Pacific theater.",au,https://flagcdn.com/w80/au.png
7,Japan,F-35A (42) + F-15J MSIP (18),AAM-4B (105) / AIM-120D-3 (180),E-767 (400) / JTPS-P14 (450),Japanese-American,GPS,92,89,87,93,90,88,88,89.8,5388,190,"AAM-4B active radar, 105 km; AIM-120D-3 180 km datalink.",F-35A internal; F-15J upgraded pylons for mixed loads.,E-767 (400 km) and JTPS-P14 (450 km) radars via indigenous links for 190 km. Strong sensor fusion in East Asia.,jp,https://flagcdn.com/w80/jp.png
8,South Korea,F-35A (20) + KF-21 (20) + F-15K (20),AIM-120D-3 (180) / LIG Nex1 (150),E-737 (400) / Green Pine (800),Korean-American,GPS,91,88,86,92,89,87,87,89.4,5364,180,AIM-120D-3 180 km active; LIG Nex1 indigenous 150 km AESA.,F-35A internal; KF-21/F-15K external with datalink integration.,E-737 (400 km) and Green Pine (800 km) for 180 km networked. Korean-US fusion enhances D.,kr,https://flagcdn.com/w80/kr.png
9,Sweden,JAS 39E Gripen (60),Meteor (150),GlobalEye (450),Swedish,GPS,90,87,85,91,88,86,80,88.5,5334,170,"Meteor ramjet, Mach 4+, 150 km large NEZ.","Gripen E internal/external for 6 Meteors, full autonomy.",GlobalEye (450 km) for 170 km engagements. Saab's integrated ecosystem boosts A/C/D.,se,https://flagcdn.com/w80/se.png
10,Italy,F-35A (30) + Typhoon (30),Meteor (150) / AIM-120C-7 (120),G550 CAEW (400),Italian-NATO,GPS,89,86,84,90,87,85,85,88.5,5310,160,Meteor 150 km ramjet; AIM-120C-7 120 km active.,Typhoon/F-35 mixed loads via Link-16.,G550 CAEW (400 km) for 160 km. NATO integration aids D.,it,https://flagcdn.com/w80/it.png
11,France,Rafale F4 (36) + Mirage 2000-5 (24),Meteor (150) / MICA-EM (80),E-2D (400) / Atlantic 2 (300),French-NATO,GPS,88,85,83,89,86,84,84,88.1,5286,155,Meteor ramjet 150 km; MICA-EM 80 km active.,Rafale internal 4 Meteors; Mirage external.,E-2D (400 km) for 155 km. French datalinks strong in A/D.,fr,https://flagcdn.com/w80/fr.png
12,Canada,CF-18 (48) + F-35A (12),AIM-120C-7 (120),E-3A (400),Canadian-NATO,GPS,87,84,82,88,85,83,83,87.7,5262,150,AIM-120C-7 120 km datalink.,CF-18 external; F-35A internal.,E-3A (400 km) for 150 km via Link-16. NORAD integration boosts D.,ca,https://flagcdn.com/w80/ca.png
13,Germany,Eurofighter T4 (40) + Tornado ECR (20),Meteor (150) / AIM-120C-5 (105),E-3A (400),German-NATO,GPS,84,76,81,85,84,80,80,81.7,4901,150,Meteor 150 km ramjet; AIM-120C-5 105 km active.,Eurofighter 4 Meteors external; Tornado SEAD support.,E-3A (400 km) for 150 km engagements. Tornado SEAD role enhances E in mixed ops.,de,https://flagcdn.com/w80/de.png
14,Turkey,F-16C/D Block-70 (35) + F-4E-2020 (25),AIM-120C-7 (120),E-7T (400),Turkish-NATO,GPS,80,74,78,75,78,80,98,79.5,4770,110,"AIM-120C-7 120 km active radar, Mach 4.",F-16 Block 70 pylons for 6 loads; F-4E legacy support.,E-7T (400 km) for 110 km engagements. Indigenous TF-X development prospects boost future F.,tr,https://flagcdn.com/w80/tr.png
15,Pakistan,J-10C (20) + JF-17C (26) + F-16AM-52+ (14),PL-15E (200) / AIM-120C-5 (105),ZDK-03 (350) / H-8 GAN (450),Pakistani-Chinese-Swedish,Beidou,85,72,81,82,75,82,70,79,4743,150,"PL-15E AESA, 145-200 km dual-pulse; AIM-120C-5 105 km active.",J-10C/JF-17 internal/external loads; F-16 pylons.,ZDK-03 (350 km) and H-8 GAN (450 km) via Sino-Pak links for 150 km. Sino-Pak datalink fusion aids D despite hybrid fleet.,pk,https://flagcdn.com/w80/pk.png
16,Thailand,F-16A/B MLU (48) + JAS-39C/D (12),AIM-120C (105) / Meteor (150),Saab 340 Erieye (450),Korean-American-Swedish-French,GPS,82,80,80,78,70,80,60,75.5,4707,130,"AIM-120C active radar homing, datalink mid-course, Mach 4, ~105 km range with good Pk at NEZ; Meteor ramjet, Mach 4+, 150 km large NEZ for extended engagements.",F-16 MLU pylons for 6 AIM-120C loads; Gripen C/D internal/external for 4-6 Meteors with MS20 upgrades for mixed compatibility.,"Saab 340 Erieye AEW (450 km radar horizon) provides networked cueing via partial Link-16/Saab datalinks, enabling ~130 km effective BVR in SE Asian theater.",th,https://flagcdn.com/w80/th.png
17,Spain,EF-18M (40) + Eurofighter T4 (20),AIM-120C-7 (120) / Meteor (150),E-3A (400) + GroundMaster 400 (450),Spanish-NATO,GPS,80,74,80,82,80,78,70,78.3,4698,140,AIM-120C-7 120 km datalink; Meteor 150 km ramjet.,EF-18M external; Eurofighter mixed loads.,E-3A (400 km) and GroundMaster (450 km) for 140 km. GroundMaster gap-fillers support A/D.,es,https://flagcdn.com/w80/es.png
18,Iran,F-14A/AM (41) + F-4E (19),Fakour-90 (190),Simorgh AEW (400) / Ghadir OTH (1 100),Iranian-American-French-Russian,GLONASS,75,70,85,65,72,70,90,73,4617,190,"Fakour-90 semi-active radar homing derived from AIM-54 Phoenix, Mach 5 speed, ~190 km range with moderate Pk at NEZ optimized for AWACS/high-value intercepts.",F-14AM upgraded with indigenous avionics carries up to 6 Fakour-90s under fuselage; F-4E supports legacy Hawk-derived variants for mixed loads.,"Simorgh indigenous AEW (400 km radar horizon) and Ghadir OTH ground radars (up to 1,100 km claimed) provide cueing via limited datalinks, enabling ~190 km effective BVR despite sanctions constraints.",ir,https://flagcdn.com/w80/ir.png
19,India,Rafale F3R (36) + Su-30MKI Super-30 (24),Meteor (150) / RVV-AE-PD (120),Netra (250) / Falcon (400),Indian-French-Israeli-Russian-American,GLONASS,78,78,80,70,78,78,75,77,4617,140,Meteor ramjet 150 km NEZ; RVV-AE-PD 120 km active.,Rafale 4 Meteors; Su-30MKI 8 RVV-AE external.,Netra (250 km) and Falcon (400 km) limited by multi-vendor issues for 140 km. Multi-vendor non-integration (French/US/Russian) penalizes D/E.,in,https://flagcdn.com/w80/in.png
20,Saudi Arabia,F-15SA (40) + Typhoon T3 (20),AIM-120C-7 (120) / Meteor (150),E-3A (400),Swedish-American-French-UK,GPS,80,75,80,75,78,80,55,75.8,4548,140,AIM-120C-7 120 km active; Meteor 150 km NEZ.,F-15SA 8+ loads; Typhoon external.,"E-3A (400 km) for 140 km, limited by vendor mix. Vendor mix limits D cohesion.",sa,https://flagcdn.com/w80/sa.png
